epochhours,last_price,firm_executable_bid,firm_executable_ask,market_estimate_bid,market_estimate_ask
1606719600,,125.0957917,125.6738542,,
1606719600,,,,125.1303055,125.7929332
1606723200,,,,125.1011194,125.7987328
1606723200,,125.2128438,125.8034219,,
1606726800,,125.1323559,125.7231356,,
1606726800,,,,124.9934555,125.695716
1606730400,,,,125.0895499,125.7932978
1606730400,,125.2139231,125.8050962,,
1606734000,,125.1590172,125.7498276,,
1606734000,,,,124.9975837,125.7022472
1606737600,,125.0620526,125.6522281,,
1606737600,,,,124.8919331,125.6011304
1606741200,,125.1131695,125.7038814,,
1606741200,,,,124.9472226,125.6546419
1606744800,,,,124.9485577,125.6820079
1606744800,125.311,,,,
